x,z,error
-0.84,0.03,0.00036104070835919457
-0.8200000000000001,0.03,0.00034430076193951557
-0.8,0.03,0.0003265063012226359
-0.78,0.03,0.0003078193089047643
-0.76,0.03,0.0002883316151076066
-0.74,0.03,0.00026805161062783714
-0.72,0.03,0.00024734064205241614
-0.7,0.03,0.0002263579952222671
-0.6799999999999999,0.03,0.00020549033231157709
-0.6599999999999999,0.03,0.00018508656158106027
-0.64,0.03,0.00016572408687235684
-0.62,0.03,0.00014804854930090366
-0.6,0.03,0.00013290648625796566
-0.5800000000000001,0.03,0.00012125225340896671
-0.56,0.03,0.00011390355814535048
-0.54,0.03,0.0001115716994548242
-0.52,0.03,0.0001141255579438785
-0.5,0.03,0.0001205014738493989
-0.48,0.03,0.0001299835032611163
-0.45999999999999996,0.03,0.00014120403051982094
-0.43999999999999995,0.03,0.0001534953573754855
-0.42000000000000004,0.03,0.0001661627912477517
-0.4,0.03,0.00017869506372731556
-0.38,0.03,0.00019091834715197033
-0.36,0.03,0.0002029654345714765
-0.33999999999999997,0.03,0.0002142704496231886
-0.31999999999999995,0.03,0.00022499809870123972
-0.29999999999999993,0.03,0.0002349114353394637
-0.28,0.03,0.0002442942072589023
-0.26,0.03,0.0002527187829466057
-0.24,0.03,0.0002604305535041168
-0.21999999999999997,0.03,0.0002672362790797245
-0.19999999999999996,0.03,0.00027307516772689483
-0.17999999999999994,0.03,0.00027798394827213344
-0.16000000000000003,0.03,0.00028148417511304936
-0.14,0.03,0.00028395107129420183
-0.12,0.03,0.00028505831567081493
-0.09999999999999998,0.03,0.00028465670732583727
-0.07999999999999996,0.03,0.0002828162166702144
-0.05999999999999994,0.03,0.0002793861117927404
-0.040000000000000036,0.03,0.00027436913095087065
-0.020000000000000018,0.03,0.00026778183124207667
0.0,0.03,0.0002594177604501263
0.020000000000000018,0.03,0.000249526721227661
0.040000000000000036,0.03,0.00023790749552836745
0.06000000000000005,0.03,0.00022468364047755577
0.08000000000000007,0.03,0.00021003570975177292
0.10000000000000009,0.03,0.000193927852484507
0.1200000000000001,0.03,0.00017640332644536323
0.14000000000000012,0.03,0.0001576731347310649
0.15999999999999992,0.03,0.00013781857805787812
0.17999999999999994,0.03,0.00011699066398893534
0.19999999999999996,0.03,9.513284657151697e-05
0.21999999999999997,0.03,7.255605208491223e-05
0.24,0.03,4.9385236187568576e-05
0.26,0.03,2.570680380083313e-05
0.28,0.03,2.1702306390952343e-06
0.30000000000000004,0.03,2.2792601657977787e-05
0.32000000000000006,0.03,4.723869382233764e-05
0.3400000000000001,0.03,7.175267211026005e-05
0.3600000000000001,0.03,9.606954361032307e-05
0.3800000000000001,0.03,0.00012006127990720892
0.40000000000000013,0.03,0.00014386688205493886
0.41999999999999993,0.03,0.0001669945094147634
0.43999999999999995,0.03,0.00018951576943238515
0.45999999999999996,0.03,0.0002112625269404741
0.48,0.03,0.00023212393524228592
0.5,0.03,0.00025205713051288254
0.52,0.03,0.0002707392788475163
0.54,0.03,0.000288233723324377
0.56,0.03,0.00030415315617382576
0.5800000000000001,0.03,0.00031862058369153394
0.6000000000000001,0.03,0.0003313061539721757
0.6200000000000001,0.03,0.00034210098342452803
0.6400000000000001,0.03,0.0003509523898523544
0.6600000000000001,0.03,0.00035749491914654184
0.6799999999999999,0.03,0.00036175916419346554
0.7,0.03,0.00036331451259955487
0.72,0.03,0.0003623362925008965
0.74,0.03,0.0003585534641269847
0.76,0.03,0.00035193853919401104
0.78,0.03,0.0003422990600056676
0.8,0.03,0.00032973486503722147
0.8200000000000001,0.03,0.00031401302562715435
0.8400000000000001,0.03,0.00029541530608801365
0.8600000000000001,0.03,0.00027407400998926676
0.8800000000000001,0.03,0.00025052337407277634
0.9000000000000001,0.03,0.00022514035319053823
0.9199999999999999,0.03,0.00019941324242797733
0.94,0.03,0.0001750920798970336
0.96,0.03,0.00015636983865513325
0.98,0.03,0.00014855353808646663
1.0,0.03,0.00015675710375046798
-1.0,0.04,0.00037669319861922506
-0.98,0.04,0.00036989926292914783
-0.96,0.04,0.00036302804936272695
-0.94,0.04,0.0003557474502047883
-0.92,0.04,0.0003476912009884761
-0.9,0.04,0.000338546566991308
-0.88,0.04,0.0003282311503780682
-0.86,0.04,0.0003164958539357085
-0.84,0.04,0.0003033818911640751
-0.8200000000000001,0.04,0.0002890022978767503
-0.8,0.04,0.0002730755587238135
-0.78,0.04,0.00025598904845066804
-0.76,0.04,0.0002378974792779607
-0.74,0.04,0.0002188661103239196
-0.72,0.04,0.00019936530319228124
-0.7,0.04,0.00017962345210698635
-0.6799999999999999,0.04,0.00016022464723260035
-0.6599999999999999,0.04,0.00014198246205288396
-0.64,0.04,0.00012557922758585377
-0.62,0.04,0.00011242207895902865
-0.6,0.04,0.00010369895090470102
-0.5800000000000001,0.04,0.00010082723946552155
-0.56,0.04,0.00010337986238267547
-0.54,0.04,0.00011133679633886366
-0.52,0.04,0.00012245966511863817
-0.5,0.04,0.00013584552391237423
-0.48,0.04,0.00015000341923005264
-0.45999999999999996,0.04,0.0001644968999701002
-0.43999999999999995,0.04,0.00017861229265906406
-0.42000000000000004,0.04,0.00019228127926982936
-0.4,0.04,0.00020476367060628622
-0.38,0.04,0.00021630672061927447
-0.36,0.04,0.00022688364959652627
-0.33999999999999997,0.04,0.00023639649326968404
-0.31999999999999995,0.04,0.00024473733622599396
-0.29999999999999993,0.04,0.00025205246515714723
-0.28,0.04,0.00025834168836020747
-0.26,0.04,0.00026365699819415014
-0.24,0.04,0.0002680140784373878
-0.21999999999999997,0.04,0.0002714428716142576
-0.19999999999999996,0.04,0.000273720733172756
-0.17999999999999994,0.04,0.0002751970675974227
-0.16000000000000003,0.04,0.00027547407291610615
-0.14,0.04,0.0002748328375513024
-0.12,0.04,0.0002729555304214927
-0.09999999999999998,0.04,0.0002699634583356377
-0.07999999999999996,0.04,0.0002657626327576303
-0.05999999999999994,0.04,0.00026029304355322373
-0.040000000000000036,0.04,0.00025355300314884523
-0.020000000000000018,0.04,0.0002454485452324717
0.0,0.04,0.00023609238364850817
0.020000000000000018,0.04,0.00022549705547564945
0.040000000000000036,0.04,0.00021358703357868272
0.06000000000000005,0.04,0.00020037603461253776
0.08000000000000007,0.04,0.000186071751714908
0.10000000000000009,0.04,0.0001704672729251617
0.1200000000000001,0.04,0.00015393322895118468
0.14000000000000012,0.04,0.00013659256547029507
0.15999999999999992,0.04,0.0001182428780227498
0.17999999999999994,0.04,9.912288198667482e-05
0.19999999999999996,0.04,7.930326782786635e-05
0.21999999999999997,0.04,5.886740990300932e-05
